recipient,amount
wwE7xHLfPd91XRti1AAzBv2zTEYayNmUh4bkJNSvyDf,69959473892168
GBGW4K7R79Gaaeot3m6A7CgT7kWzDp2TSs8highVExAK,69181064337207
5YuCLSG12wCj3H4WaEur19RnLHtkCFXQWMAjxPuYBxXN,69887827837799
5sQqxRuoBT17zbpSMwbcaRxZX2u3ZjfTKC5RAkspEwXi,69463942710907
3n7mZaehg8vskkSQY7VuF7yxpG1tYiqeVVHAwgagWjAo,69187853271610
Brd4kFdr4QpbMJ8Vj3LUmPJ19JTVvWdRi3xMrkCtbNKA,69756880083243
BEEu7fuziKwp8HjVjQ67D2RER1PZnS995w7Bn444y4Zp,69194191092412
EqSyU6o8Jxc7YK3cJd7Fy7UBBkkMVMGiCKG1y1ddJUF4,69228397819636
KrAfaq2syKSNVBXXBySQ3gQjmvRdVaZxie3cY6rWPBB,67054010590055
8Lq2NWjVjX4xgqGQoU5xgGYKD92eD51VNbXtZcfnAc96,47823331610955
CquA9q57TYVr9uvXvk6aqAG5GGKk3mUL9C8ALyAsUeWg,77361962387995
76qvvT56uoMDwdCZEekRH7FJZLvhkgmoi2iNuTK7T9HL,69859451425404
Gy5F4r6gjXQqFsGyCodVoZmf41vpLwe4TaPSxaCttqtv,69161662698381
Ee8dX3qtwrDRnxYK6NGQfmMeKT3Qpp2QZHpxiAiw23W9,69320811598255
7hMD4oMmGT4GsS4DfBKzJ75wSjDhgu2pvcazbvoKPrNs,69185403302143
2Q3t4UqyZeVZQ5WURvuGVb73x8cwbu5M7jNbb1jEvGsB,66767779044722
EJc4QLsiiX7ap78EqcKBhxZEMUTHZVterxnw9zqaH5rD,70140533724429
9tNh1oRW4g3TmQGPbyK531zJ183iQYxxsg5eAzaXxFWY,69700597762644
FaGBP8LJrXE5h3cFRtPxz8x8695LQAYnvYn3NGtVtvrw,18322343635981
9CEK8TWqwjWbM7WKyEAGp31XytBtYzVMbvQb5JaPmFBa,44989300172279
krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,2940502518250060
EnizqkyVhbnMiQLwECv3fXydJvkoFzMjrdVtdpFWxNQt,70195811711864
5h1TBFXeoXLKEj7SuNSrce1RQVASrj3DXzVGcovW1Jxn,70052076421645
ANScUD8o6eqYNuqTYrrh7yuGWmuBRzaTcgiDcVbuRc4S,69931183786055
